"customer_id","category_id","item_id","size_caption","width","left_facing","right_facing","thickness","printing_cylinder","cutting_length_cm","raw_material","master_batch_id","is_printed","cutting_unit","unit_weight_kg","notes","punching"
"CID1325","CAT06","ITM40","50X110","50","0","0","8","بدون","110","HDPE","MAS28","No","Roll","0.9","15R/Bag","بدون"
"CID1325","CAT06","ITM41","55X110","55","0","0","6","بدون","110","HDPE","MAS28","No","Roll","0.8","15R/Bag","بدون"
"CID1325","CAT06","ITM42","60X140","60","0","0","8","بدون","140","HDPE","MAS28","No","Roll","1.8","10R/Bag","بدون"
"CID1502","CAT03","ITM22","30+9+9X55","30","9","9","14","22","56","HDPE","MAS20","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1503","CAT03","ITM21","27+8+8X45","27","8","8","12","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1504","CAT04","ITM29","30+8+8X40","30","8","8","35","16","41","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1504","CAT04","ITM31","36+13+13X50","36","13","13","35","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1046","CAT04","ITM30","33+10+10X45","33","10","10","35","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1046","CAT04","ITM31","50+9+9X71","50","9","9","40","28","71","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1505","CAT04","ITM29","27+8+8X40","27","8","8","40","16","41","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1505","CAT04","ITM30","37+7+7X50","37","7","7","40","20","51","HDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1443","CAT03","ITM22","32+10+10X50","32","10","10","17","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1443","CAT03","ITM23","37+10+10X60","37","10","10","17","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1506","CAT04","ITM30","33+9+9X50","33","9","9","38","20","51","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1507","CAT04","ITM29","25+4+4X35","25","4","4","0","14","36","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1306","CAT03","ITM21","26+9+9X40","26","9","9","10","16","41","HDPE","MAS27","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1306","CAT03","ITM22","32+11+11X50","32","11","11","10","20","51","HDPE","MAS27","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1306","CAT03","ITM23","34+11+11X60","34","11","11","14","24","61","HDPE","MAS27","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1508","CAT04","ITM29","30+7+7X40","30","7","7","25","16","41","HDPE","MAS19","Yes","Kg.","1","20K/Bag","بنانة"
"CID1508","CAT04","ITM31","40+10+10X50","40","10","10","30","20","51","HDPE","MAS19","Yes","Kg.","1","20K/Bag","بنانة"
"CID086","CAT03","ITM22","32+10+10X55","32","10","10","15","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID086","CAT03","ITM23","35+10+10X60","35","10","10","15","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID942","CAT09","ITM64","45X60","45","0","0","25","24","61","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID864","CAT08","ITM56","28+5+5X50","28","5","5","55","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1509","CAT09","ITM64","30X0","30","0","0","8","بدون","0","HDPE","MAS14","No","Roll","25","25Kg/Roll","بدون"
"CID1510","CAT04","ITM30","31+9+9X50","31","9","9","26","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1313","CAT04","ITM30","36+10+10X50","36","10","10","30","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1499","CAT08","ITM57","20X35","20","0","0","15","14","36","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1232","CAT04","ITM30","40X50","40","0","0","30","20","51","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID864","CAT07","ITM52","0X70","0","0","0","11","بدون","70","LDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID864","CAT07","ITM53","0X90","0","0","0","10","بدون","90","LDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID1511","CAT03","ITM22","30+8+8X40","30","8","8","13","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1511","CAT03","ITM23","30+8+8X55","30","8","8","13","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID967","CAT03","ITM21","22+7.5+7.5X35","22","7.5","7.5","18","14","36","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID967","CAT03","ITM22","26+9+9X45","26","9","9","18","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1512","CAT04","ITM30","36+9+9X50","36","9","9","24","20","51","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1513","CAT04","ITM30","32+8+8X40","32","8","8","28","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1513","CAT04","ITM31","40+14+14X50","40","14","14","28","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1359","CAT04","ITM32","41+10+10X55","41","10","10","25","22","56","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1514","CAT03","ITM23","40+10+10X55","40","10","10","18","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1476","CAT04","ITM29","34+8+8X40","34","8","8","30","16","41","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بنانة"
"CID1515","CAT03","ITM21","23+7+7X40","23","7","7","13","16","41","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID1516","CAT04","ITM30","32+8+8X45","32","8","8","50","18","46","LDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1516","CAT04","ITM31","45+10+10X55","45","10","10","50","22","56","LDPE","MAS02","Yes","Kg.","1","20K/Bag","بنانة"
"CID1429","CAT03","ITM21","27+9+9X45","27","9","9","16","18","46","HDPE","MAS28","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1429","CAT03","ITM23","40+12+12X66","40","12","12","20","26","66","HDPE","MAS19","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1419","CAT03","ITM21","25+9+9X40","25","9","9","11","16","41","HDPE","MAS28","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1419","CAT03","ITM22","34+10+10X50","34","10","10","12","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1515","CAT03","ITM22","27+6+6X45","27","6","6","14","18","46","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID1515","CAT03","ITM23","40+9+9X50","40","9","9","14","20","51","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID1515","CAT03","ITM25","40+11+11X60","40","11","11","15","24","61","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID1517","CAT03","ITM22","30+10+10X50","30","10","10","15","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1517","CAT03","ITM23","38+13+13X66","38","13","13","15","26","66","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1518","CAT08","ITM55","20X35","20","0","0","8","14","36","LDPE","MAS28","Yes","Box","5","1K/P x 5P/Box","بدون"
"CID1518","CAT08","ITM56","25X40","25","0","0","9","16","41","LDPE","MAS28","Yes","Box","5","1K/P x 5P/Box","بدون"
"CID1518","CAT08","ITM57","30X45","30","0","0","10","18","46","LDPE","MAS28","Yes","Box","5","1K/P x 5P/Box","بدون"
"CID1487","CAT04","ITM30","36+8+8X45","36","8","8","16","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1250","CAT04","ITM29","20+4+4X30","20","4","4","25","12","30","LDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1423","CAT03","ITM22","29+10+10X50","29","10","10","14","20","51","HDPE","MAS20","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1519","CAT04","ITM29","26+7+7X40","26","7","7","20","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1519","CAT03","ITM22","31+10+10X50","31","10","10","20","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1519","CAT03","ITM24","45+15+15X81","45","15","15","20","32","81","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID1520","CAT03","ITM22","31+10+10X50","31","10","10","20","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID1520","CAT03","ITM24","45+15+15X81","45","15","15","20","32","81","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
