id,customer_id,category_id,item_id,size_caption,width,left_facing,right_facing,thickness,printing_cylinder,cutting_length_cm,raw_material,master_batch_id,is_printed,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg,cliche_front_design,cliche_back_design,notes,status,created_at
1735,CID1060,CAT03,ITM25,51+14+14X91,51,14,14,16,36,91,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:30 GMT+0000 (Coordinated Universal Time)
1736,CID1044,CAT08,ITM58,21X30,21,0,0,12,12,30,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:30 GMT+0000 (Coordinated Universal Time)
1737,CID1044,CAT03,ITM21,25+8+8X40,25,8,8,15,16,41,HDPE,PT-130232-A,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:30 GMT+0000 (Coordinated Universal Time)
1739,CID1044,CAT03,ITM23,40+13+13X66,40,13,13,17,26,66,HDPE,PT-130232-A,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:30 GMT+0000 (Coordinated Universal Time)
1740,CID1061,CAT03,ITM22,29+7+7X45,29,7,7,17,18,46,HDPE,PT-120074,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:30 GMT+0000 (Coordinated Universal Time)
1741,CID1061,CAT03,ITM23,35+10+10X60,35,10,10,17,24,61,HDPE,PT-120074,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1742,CID1061,CAT05,ITM38,52X110,52,0,0,4,بدون طباعة,110,HDPE,PT-120074,FALSE,رول,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1743,CID978,CAT08,ITM58,30+5+5X60,30,5,5,60,24,61,LDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1744,CID137,CAT07,ITM51,0X0,0,0,0,10,بدون طباعة,0,LDPE,PT-CLEAR,FALSE,كرتون,بدون,4,1,4,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1746,CID135,CAT04,ITM34,60+15+15X91,60,15,15,35,36,91,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1747,CID1011,CAT04,ITM33,64+15+15X91,64,15,15,30,36,91,HDPE,PT-120074,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1748,CID1062,CAT09,ITM64,98+15+15X93,98,15,15,25,بدون طباعة,93,HDPE,PT-111111,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:31 GMT+0000 (Coordinated Universal Time)
1749,CID847,CAT03,ITM23,32+10+10X60,32,10,10,15,بدون طباعة,60,HDPE,PT-180122,FALSE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1750,CID435,CAT03,ITM20,21+6+6X35,21,6,6,11,14,36,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1752,CID435,CAT03,ITM22,32+10+10X50,32,10,10,12,20,51,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1753,CID1051,CAT04,ITM31,43+7+7X55,43,7,7,30,22,56,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1754,CID326,CAT03,ITM23,32+13+13X55,32,13,13,16,22,56,HDPE,PT-120074,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1755,CID224,CAT03,ITM21,25+7+7X40,25,7,7,13,16,41,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1756,CID224,CAT03,ITM22,31+10+10X50,31,10,10,13,20,51,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:32 GMT+0000 (Coordinated Universal Time)
1757,CID224,CAT03,ITM23,35+12+12X55,35,12,12,16,22,56,HDPE,PT-111111,TRUE,كيلو,علاقي,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
1759,CID1063,CAT03,ITM21,23+6+6X40,23,6,6,12,16,41,HDPE,PT-111111,TRUE,كيلو,علاقي هوك,1,20,20,,,10P/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
