id,printing_cylinder,master_batch_id,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg
372,18,PT-111111,كيلو,بدون,1,20,20
373,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
374,18,PT-111111,كيلو,بدون,1,20,20
375,12,PT-111111,كيلو,بدون,1,20,20
376,16,PT-111111,كيلو,بدون,1,20,20
377,18,PT-111111,كيلو,بدون,1,20,20
378,18,PT-111111,كيلو,بدون,1,20,20
379,20,PT-111111,كيلو,بدون,1,20,20
380,24,PT-111111,كيلو,بدون,1,20,20
381,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
382,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
383,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
384,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
385,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
386,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
387,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
388,بدون طباعة,PT-CLEAR,كرتون,بدون,5,1,5
389,20,PT-111111,كيلو,علاقي,1,20,20
390,24,PT-111111,كيلو,علاقي,1,20,20
391,8,PT-CLEAR,كيلو,بدون,1,20,20
392,20,PT-130231,كيلو,علاقي,1,20,20
393,24,PT-130231,كيلو,علاقي,1,20,20
394,32,PT-130231,كيلو,علاقي,1,20,20
395,8,PT-130231,كيلو,بدون,1,20,20
396,10,PT-130231,كيلو,بدون,1,20,20
397,12,PT-130231,كيلو,بدون,1,20,20
398,بدون طباعة,PT-130231,كيلو,بدون,1,20,20
399,20,PT-111111,باكت,بدون,0.4,20,8
400,20,PT-111111,رول,بدون,0.5,20,10
401,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
402,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
403,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
404,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
405,بدون طباعة,PT-000000,باكت,بدون,0.5,20,10
406,بدون طباعة,PT-000000,باكت,بدون,0.5,20,10
407,بدون طباعة,PT-000000,باكت,بدون,0.5,20,10
408,بدون طباعة,PT-000000,باكت,بدون,0.5,20,10
409,بدون طباعة,PT-140340,باكت,بدون,0.5,30,15
410,بدون طباعة,PT-111111,رول,بدون,0.5,30,15
411,بدون طباعة,PT-130231,رول,بدون,0.5,30,15
412,بدون طباعة,PT-140340,رول,بدون,0.5,30,15
413,بدون طباعة,PT-000000,رول,بدون,0.5,30,15
414,بدون طباعة,PT-000000,رول,بدون,0.5,30,15
415,بدون طباعة,PT-000000,رول,بدون,0.5,30,15
416,بدون طباعة,PT-000000,رول,بدون,0.5,30,15
